CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0.01665
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0
CPU	 43	 0
CPU	 45	 0
CPU	 47	 0.01665
CPU	 49	 0.016675
IO	 0	 570.767
IO	 2	 570.783
IO	 4	 570.8
IO	 6	 570.833
IO	 8	 570.833
IO	 10	 570.85
IO	 12	 570.867
IO	 14	 570.883
IO	 16	 570.883
IO	 18	 570.9
IO	 20	 570.883
IO	 22	 570.9
IO	 24	 570.9
IO	 26	 570.9
IO	 28	 570.9
IO	 30	 570.883
IO	 32	 570.9
IO	 34	 570.883
IO	 36	 570.867
IO	 38	 570.867
IO	 40	 570.85
IO	 42	 570.833
IO	 44	 570.817
IO	 46	 570.8
IO	 48	 570.783
