CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0.01665
CPU	 23	 0
CPU	 25	 0.016675
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0
CPU	 37	 0
CPU	 39	 0.01665
CPU	 41	 0
CPU	 43	 0.016675
CPU	 45	 0.01665
CPU	 47	 0.016675
CPU	 49	 0.016675
CPU	 51	 0.01665
CPU	 53	 0
CPU	 55	 0
CPU	 57	 0
CPU	 59	 0
CPU	 61	 0.01665
CPU	 63	 0
CPU	 65	 0.01665
CPU	 67	 0
CPU	 69	 0.01665
CPU	 71	 0
CPU	 73	 0.01665
CPU	 75	 0
CPU	 77	 0
CPU	 79	 0.016675
CPU	 81	 0
CPU	 83	 0
CPU	 85	 0
CPU	 87	 0
CPU	 89	 0
CPU	 91	 0
CPU	 93	 0
CPU	 95	 0
CPU	 97	 0
CPU	 99	 0
IO	 0	 898.517
IO	 2	 898.55
IO	 4	 898.583
IO	 6	 898.617
IO	 8	 898.65
IO	 10	 898.667
IO	 12	 898.7
IO	 14	 898.733
IO	 16	 898.767
IO	 18	 898.783
IO	 20	 898.8
IO	 22	 898.817
IO	 24	 898.85
IO	 26	 898.85
IO	 28	 898.883
IO	 30	 898.9
IO	 32	 898.9
IO	 34	 898.917
IO	 36	 898.933
IO	 38	 898.933
IO	 40	 898.933
IO	 42	 898.95
IO	 44	 898.95
IO	 46	 898.95
IO	 48	 898.967
IO	 50	 898.967
IO	 52	 898.967
IO	 54	 898.967
IO	 56	 898.967
IO	 58	 898.95
IO	 60	 898.933
IO	 62	 898.933
IO	 64	 898.917
IO	 66	 898.917
IO	 68	 898.9
IO	 70	 898.883
IO	 72	 898.883
IO	 74	 898.85
IO	 76	 898.833
IO	 78	 898.817
IO	 80	 898.8
IO	 82	 898.767
IO	 84	 898.733
IO	 86	 898.717
IO	 88	 898.683
IO	 90	 898.65
IO	 92	 898.633
IO	 94	 898.6
IO	 96	 898.567
IO	 98	 898.533
